Name,global_id,AdmArea,District,Location,lon,lat,Material
"Искусственная дорожная неровность по адресу Автозаводская улица, дом 6",2755376704,Южный административный округ,Даниловский район,"Автозаводская улица, дом 6",37.660526,55.708705,пластик
"Искусственная дорожная неровность по адресу улица Малая Ботаническая, дом 17",2755376705,Северо-Восточный административный округ,район Марфино,"улица Малая Ботаническая, дом 17",37.586591,55.831921,пластик
"Искусственная дорожная неровность по адресу Большая Марфинская улица, дом 4",2755376706,Северо-Восточный административный округ,район Марфино,"Большая Марфинская улица, дом 4",37.592547,55.831121,пластик
"Искусственная дорожная неровность по адресу Большая Марфинская улица, дом 4, корпус 2",2755376707,Северо-Восточный административный округ,район Марфино,"Большая Марфинская улица, дом 4, корпус 2",37.593012,55.827302,пластик
"Искусственная дорожная неровность по адресу Большая Марфинская улица, дом 4, корпус 1",2755376708,Северо-Восточный административный округ,район Марфино,"Большая Марфинская улица, дом 4, корпус 1",37.593024,55.826867,пластик
"Искусственная дорожная неровность по адресу микрорайон Северное Чертаново, дом 7, корпус Г",2755376709,Южный административный округ,район Чертаново Северное,"микрорайон Северное Чертаново, дом 7, корпус Г",37.588281,55.634171,пластик
"Искусственная дорожная неровность по адресу Булатниковская улица, дом 10, строение 3",2755376710,Южный административный округ,район Бирюлёво Западное,"Булатниковская улица, дом 10, строение 3",37.634767,55.581074,пластик
"Искусственная дорожная неровность по адресу улица Генерала Белова, дом 51, корпус 1А",2755376711,Южный административный округ,район Орехово-Борисово Северное,"улица Генерала Белова, дом 51, корпус 1А",37.725323,55.605019,пластик
"Искусственная дорожная неровность по адресу улица Генерала Белова, дом 16, строение 7",2755376712,Южный административный округ,район Орехово-Борисово Северное,"улица Генерала Белова, дом 16, строение 7",37.720978,55.613528,пластик
"Искусственная дорожная неровность по адресу улица Генерала Белова, дом 5",2755376714,Южный административный округ,район Орехово-Борисово Северное,"улица Генерала Белова, дом 5",37.71602,55.623404,пластик
"Искусственная дорожная неровность по адресу Задонский проезд, дом 12, корпус 1",2755376715,Южный административный округ,район Зябликово,"Задонский проезд, дом 12, корпус 1",37.746235,55.626868,пластик
"Искусственная дорожная неровность по адресу Коломенская набережная, дом 22",2755376716,Южный административный округ,район Зябликово,"Коломенская набережная, дом 22",37.75967,55.621423,пластик
"Искусственная дорожная неровность по адресу Задонский проезд, дом 32, корпус 3",2755376717,Южный административный округ,район Братеево,"Задонский проезд, дом 32, корпус 2",37.769851,55.635648,пластик
Искусственная дорожная неровность по адресу Коломенская набережная дом 22,2755376718,Южный административный округ,район Нагатинский Затон,"Коломенская набережная, дом 22",37.694832,55.675455,пластик
"Искусственная дорожная неровность по адресу Коломенская набережная, дом 10",2755376719,Южный административный округ,район Нагатинский Затон,"Коломенская набережная, дом 10",37.706597,55.679772,асфальт
"Искусственная дорожная неровность по адресу Коломенская набережная, дом 18",2755376720,Южный административный округ,район Нагатинский Затон,"Коломенская набережная, дом 18",37.698089,55.676309,пластик
"Искусственная дорожная неровность по адресу Коломенская набережная, дом 16",2755376721,Южный административный округ,район Нагатинский Затон,"Коломенская набережная, дом 16",37.699727,55.676778,пластик
"Искусственная дорожная неровность по адресу Коломенская набережная, дом 8",2755376722,Южный административный округ,район Нагатинский Затон,"Коломенская набережная, дом 8",37.707721,55.680797,пластик
"Искусственная дорожная неровность по адресу Криворожская улица, дом 29 корпус 1",2755376723,Южный административный округ,Нагорный район,"Криворожская улица, дом 29, корпус 1",37.609475,55.670118,пластик
"Искусственная дорожная неровность по адресу Криворожская улица, дом 11",2755376724,Южный административный округ,Нагорный район,"Криворожская улица, дом 11",37.6155,55.668557,асфальт
