global_id,Name,BalanceHolder,AdmArea,District,Address,lon,lat
2795042172,"Станция №22, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Даниловский район,"город Москва, улица Серпуховский Вал, дом 4",37.6199152,55.7116841
2795042174,"Станция №23, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Даниловский район,"город Москва, улица Серпуховский Вал, дом 4",37.6196926,55.7116825
2795042177,"Станция №25, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Хамовники,"город Москва, Курсовой переулок, дом 4",37.6058081,55.7421081
2795042179,"Станция №26, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Якиманка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Большая Полянка, дом 1/3",37.6165839,55.7425462
2795042181,"Станция №27, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Таганский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Большой Николоворобинский переулок, дом 7, строение 2",37.6481531,55.7515242
2795042186,"Станция №29, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Руновский переулок, дом 5, строение 1",37.6354291,55.7428732
2795042189,"Станция №31, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Озерковская набережная, дом 44",37.6395517,55.7362817
2795042190,"Станция №32, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Озерковская набережная, дом 44",37.6394873,55.736374
2795042192,"Станция №33, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Басманный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Макаренко, дом 1/19",37.6467519,55.7612478
2795042193,"Станция №34, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Балчуг, дом 5",37.6259073,55.7471761
2795042195,"Станция №35, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Балчуг, дом 5",37.6259247,55.7471375
