ID,global_id,Name,ShortName,AdmArea,District,Address,Owner,TestDate,lon,lat
301,1034718972,"Автомобильная заправочная станция ООО «Шелл Нефть» на Ленинградском ш., вл. 47А","АЗС ООО «Шелл Нефть» на Ленинградском ш., вл. 47А",Северный административный округ,Головинский район,"Ленинградское ш., вл. 47А",ООО «Шелл Нефть»,06.03.2020,37.476436761,55.844816897
302,1047294241,"Автомобильная заправочная станция «РН-Москва» на улице Академика Скрябина, дом 11","АЗС «РН-Москва» на улице Академика Скрябина, дом 11",Юго-Восточный административный округ,район Кузьминки,"ул. Академика Скрябина, дом 11",АО «РН-Москва»,19.06.2020,37.796313829,55.711708663
303,1047294375,"Автомобильная заправочная станция «РАСА» на Балаклавском проспекте, владение 11","АЗС «РАСА» на Балаклавском проспекте, владение 11",Южный административный округ,район Чертаново Северное,"Балаклавский проспект, владение 11",ООО «РАСА»,25.06.2020,37.593407331,55.641294958
304,1067005126,Автомобильная заправочная станция «Лукойл-Центрнефтепродукт»,АЗС «Лукойл-Центрнефтепродукт»,Южный административный округ,район Нагатино-Садовники,"Коломенский пр-д, вл. 3А",ООО «Лукойл-Центрнефтепродукт»,07.08.2020,37.656033421,55.66711876
305,1082872648,"Автомобильная заправочная станция «Авангард» на Харьковском проезде, владение 2А","АЗС «Авангард» на Харьковском проезде, владение 2А",Южный административный округ,район Бирюлёво Западное,"Харьковский проезд, владение 2А",ООО «Авангард»,13.10.2020,37.670247763,55.631764466
306,1082873127,"Автомобильная заправочная станция «Газпромнефть-Центр» на улице Наметкина, владение 10В","АЗС «Газпромнефть-Центр» на улице Наметкина, владение 10В",Юго-Западный административный округ,Обручевский район,"улица Наметкина, владение 10В",ООО «Газпромнефть - Центр»,10.11.2020,37.554413159,55.660036231
307,1082873131,"Автомобильная заправочная станция «Глобал» на улице Полярная, дом 37Г, строение 1","АЗС «Глобал» на улице Полярная, дом 37Г, строение 1",Северо-Восточный административный округ,район Северное Медведково,"улица Полярная, дом 37Г, строение 1",ООО «Глобал»,18.12.2020,37.645747604,55.889928248
308,1105864580,"Автомобильная заправочная станция «Глобал» на 94-м км МКАД, владение 6","АЗС «Глобал» на 94-м км МКАД, владение 6",Северо-Восточный административный округ,Лосиноостровский район,"94-й км МКАД, владение 6",ООО «Глобал»,22.01.2021,37.722406993,55.883408481
309,1105945754,"Автомобильная заправочная станция «Глобал» на Ростокинском проезде, владение 11, строение 1","АЗС «Глобал» на Ростокинском проезде, владение 11, строение 1",Северо-Восточный административный округ,район Ростокино,"Ростокинский проезд, владение 11, строение 1",ООО «Глобал»,05.02.2021,37.677870486,55.817998292
310,1106046273,"Автомобильная заправочная станция «ГАЗ Макси Трейд» на проспекте Андропова, дом 51","АЗС «ГАЗ Макси Трейд» на проспекте Андропова, дом 51",Южный административный округ,район Нагатино-Садовники,"проспект Андропова, дом 51",ООО «ГАЗ Макси Трейд»,12.02.2021,37.657012423,55.652251036
311,1106318340,"Автомобильная заправочная станция «ГАЗ Макси Трейд» на Липецкой улице, дом 3","АЗС «ГАЗ Макси Трейд» на Липецкой улице, дом 3",Южный административный округ,район Царицыно,"Липецкая улица, дом 3",ООО «ГАЗ Макси Трейд»,22.06.2021,37.667058648,55.607856861
312,1139075882,"Автомобильная заправочная станция «РН-Москва» Братеевской улице, владение 4, строение 1","АЗС «РН-Москва» Братеевской улице, владение 4, строение 1",Южный административный округ,район Братеево,"Братеевская улица, владение 4, строение 1",АО «РН-Москва»,27.07.2021,37.753549366,55.630695332
313,1139077248,Автомобильная заправочная станция «АВИС-АМ» на 32-м км МКАД,АЗС «АВИС-АМ» на 32-м км МКАД,Южный административный округ,район Чертаново Южное,32-й км МКАД,ООО «АВИС-АМ»,17.08.2021,37.604641217,55.575028722
314,1139077790,Автомобильная заправочная станция «Шелл Нефть» на 39-м км Калужского шоссе,Автомобильная заправочная станция «Шелл Нефть» на 39-м км Калужского шоссе,Троицкий административный округ,поселение Троицк,39-й км Калужского шоссе,ООО «Шелл Нефть»,15.06.2021,37.317861692,55.476856655
315,1266739237,"Автомобильная заправочная станция «АМИЛКАР» на Научном проезде, дом 2А","АЗС «АМИЛКАР» на Научном проезде, дом 2А",Юго-Западный административный округ,Обручевский район," Научный проезд, дом 2А",ООО «АМИЛКАР»,26.10.2021,37.544005814,55.65469765
